,1,2,3,4,5,accuracy,macro avg,weighted avg
precision,0.5293612145517044,0.30214205186020293,0.3207683943457775,0.38351444473893453,0.5902335456475584,0.414,0.4252039302288355,0.42520393022883557
recall,0.462,0.469,0.22125,0.36175,0.556,0.414,0.41400000000000003,0.414
f1-score,0.49339207048458156,0.36751885591145067,0.26187305814469597,0.3723144217161971,0.572605561277034,0.414,0.4135407935067919,0.41354079350679185
support,4000.0,4000.0,4000.0,4000.0,4000.0,0.414,20000.0,20000.0
