,1,2,3,4,5,accuracy,macro avg,weighted avg
precision,0.5634242866069569,0.4048896839594514,0.4240750966316952,0.4726241134751773,0.6398467432950191,0.51355,0.50097198479366,0.50097198479366
recall,0.67625,0.3395,0.384,0.4165,0.7515,0.51355,0.5135500000000001,0.51355
f1-score,0.6147028746733326,0.3693228175142779,0.4030438205195487,0.4427906976744186,0.6911933777879972,0.51355,0.504210717633915,0.504210717633915
support,4000.0,4000.0,4000.0,4000.0,4000.0,0.51355,20000.0,20000.0
